timestamp,service,status, content_length
2026-03-04T03:52:22.575751+00:00,vaultwarden,200,292026-03-05T03:33:00.754326+00:00,vaultwarden,200,29
2026-03-05T03:33:00.754326+00:00,traefik,401,17
2026-03-05T03:33:00.754326+00:00,Ubiquit Dream Machine SE,200,2156
2026-03-05T03:33:52.399457+00:00,vaultwarden,200,29
2026-03-05T03:33:52.399457+00:00,traefik,401,17
2026-03-05T03:33:52.399457+00:00,Ubiquit Dream Machine SE,200,2162
2026-03-05T03:34:40.243273+00:00,vaultwarden,200,29
2026-03-05T03:34:40.243273+00:00,traefik,401,17
2026-03-05T03:34:40.243273+00:00,Ubiquit Dream Machine SE,200,2162
2026-03-05T03:34:42.878412+00:00,vaultwarden,200,29
2026-03-05T03:34:42.878412+00:00,traefik,401,17
2026-03-05T03:34:42.878412+00:00,Ubiquit Dream Machine SE,200,2162
2026-03-05T03:35:21.319743+00:00,vaultwarden,200,29
2026-03-05T03:35:21.319743+00:00,traefik,401,17
2026-03-05T03:35:21.319743+00:00,Ubiquit Dream Machine SE,200,2160
2026-03-05T03:35:30.270750+00:00,vaultwarden,200,29
2026-03-05T03:35:30.270750+00:00,traefik,401,17
2026-03-05T03:35:30.270750+00:00,Ubiquit Dream Machine SE,200,2163
2026-03-05T03:35:34.609495+00:00,vaultwarden,200,29
2026-03-05T03:35:34.609495+00:00,traefik,401,17
2026-03-05T03:35:34.609495+00:00,Ubiquit Dream Machine SE,200,2163
2026-03-05T03:35:35.123951+00:00,vaultwarden,200,29
2026-03-05T03:35:35.123951+00:00,traefik,401,17
2026-03-05T03:35:35.123951+00:00,Ubiquit Dream Machine SE,200,2163
2026-03-05T03:35:39.254431+00:00,vaultwarden,200,29
2026-03-05T03:35:39.254431+00:00,traefik,401,17
2026-03-05T03:35:39.254431+00:00,Ubiquit Dream Machine SE,200,2163
2026-03-05T03:35:46.091008+00:00,vaultwarden,200,29
2026-03-05T03:35:46.091008+00:00,traefik,401,17
2026-03-05T03:35:46.091008+00:00,Ubiquit Dream Machine SE,200,2157
2026-03-05T03:35:56.511570+00:00,vaultwarden,200,29
2026-03-05T03:35:56.511570+00:00,traefik,401,17
2026-03-05T03:35:56.511570+00:00,Ubiquit Dream Machine SE,200,2157
2026-03-05T03:36:13.656543+00:00,vaultwarden,200,29
2026-03-05T03:36:13.656543+00:00,traefik,401,17
2026-03-05T03:36:13.656543+00:00,Ubiquit Dream Machine SE,200,2149
2026-03-05T03:36:28.003199+00:00,vaultwarden,200,29
2026-03-05T03:36:28.003199+00:00,traefik,401,17
2026-03-05T03:36:28.003199+00:00,Ubiquit Dream Machine SE,200,2149
2026-03-05T03:36:45.716253+00:00,vaultwarden,200,29
2026-03-05T03:36:45.716253+00:00,traefik,401,17
2026-03-05T03:36:45.716253+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:36:47.759926+00:00,vaultwarden,200,29
2026-03-05T03:36:47.759926+00:00,traefik,401,17
2026-03-05T03:36:47.759926+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:36:49.282073+00:00,vaultwarden,200,29
2026-03-05T03:36:49.282073+00:00,traefik,401,17
2026-03-05T03:36:49.282073+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:36:50.917032+00:00,vaultwarden,200,29
2026-03-05T03:36:50.917032+00:00,traefik,401,17
2026-03-05T03:36:50.917032+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:36:53.129078+00:00,vaultwarden,200,29
2026-03-05T03:36:53.129078+00:00,traefik,401,17
2026-03-05T03:36:53.129078+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:36:54.789554+00:00,vaultwarden,200,29
2026-03-05T03:36:54.789554+00:00,traefik,401,17
2026-03-05T03:36:54.789554+00:00,Ubiquit Dream Machine SE,200,2150
2026-03-05T03:37:02.998924+00:00,vaultwarden,200,29
2026-03-05T03:37:02.998924+00:00,traefik,401,17
2026-03-05T03:37:02.998924+00:00,Ubiquit Dream Machine SE,200,2151
2026-03-05T03:37:35.001446+00:00,vaultwarden,200,29
2026-03-05T03:37:35.001446+00:00,traefik,401,17
2026-03-05T03:37:35.001446+00:00,Ubiquit Dream Machine SE,200,2139
2026-03-05T03:37:40.833679+00:00,vaultwarden,200,29
2026-03-05T03:37:40.833679+00:00,traefik,401,17
2026-03-05T03:37:40.833679+00:00,Ubiquit Dream Machine SE,200,2157
2026-03-05T03:37:55.449163+00:00,vaultwarden,200,29
2026-03-05T03:37:55.449163+00:00,traefik,401,17
2026-03-05T03:37:55.449163+00:00,Ubiquit Dream Machine SE,200,2157
2026-03-05T03:38:13.313607+00:00,vaultwarden,200,29
2026-03-05T03:38:13.313607+00:00,traefik,401,17
2026-03-05T03:38:13.313607+00:00,Ubiquit Dream Machine SE,200,2152
2026-03-05T03:38:18.747712+00:00,vaultwarden,200,29
2026-03-05T03:38:18.747712+00:00,traefik,401,17
2026-03-05T03:38:18.747712+00:00,Ubiquit Dream Machine SE,200,2152
2026-03-05T03:38:21.499472+00:00,vaultwarden,200,29
2026-03-05T03:38:21.499472+00:00,traefik,401,17
2026-03-05T03:38:21.499472+00:00,Ubiquit Dream Machine SE,200,2152
2026-03-05T03:38:22.640972+00:00,vaultwarden,200,29
2026-03-05T03:38:22.640972+00:00,traefik,401,17
2026-03-05T03:38:22.640972+00:00,Ubiquit Dream Machine SE,200,2152
2026-03-05T03:38:32.720495+00:00,vaultwarden,200,29
2026-03-05T03:38:32.720495+00:00,traefik,401,17
2026-03-05T03:38:32.720495+00:00,Ubiquit Dream Machine SE,200,2152
